Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guyana,0.712667897,0.712167576,0.726131435,0.743064077,0.787814379,0.82488055,2.379818383,2.73097115,3.025187924,3.165663153,3.432913073,3.691384318,4.063089192,4.167800259,4.127659492,4.279840194,4.482697337,4.748174334,4.787636237
Honduras,7.103826902,7.565854724,7.77525151,8.140278401,8.772169959,9.67202305,10.84172492,12.27550012,13.78944362,14.48615961,15.72964916,17.58809857,18.40053886,18.37217338,19.61856725,20.8339488,21.56662285,22.97541584,23.90043856
Croatia,21.83978097,23.27364026,27.07455026,34.98574988,41.95883354,45.78023726,50.86078825,60.5426735,70.75064625,63.08400471,60.42601863,63.16991082,57.19234692,58.88908232,58.33028976,50.16319288,52.29515834,56.21442743,62.24787495
Haiti,6.813577558,6.331961555,6.058134467,4.826827577,6.036959915,7.184064657,7.518107787,9.522763154,10.48522535,11.59701481,11.85931508,13.00875411,13.70892647,14.90247409,15.13926467,14.83315447,13.98769374,15.03556037,16.45503435
Hungary,47.21840589,53.74998909,67.60891914,85.30200391,104.1410426,113.2367116,115.7512667,140.2275606,158.3744196,131.114229,132.2311342,141.9999602,128.8573705,135.7325957,141.0789848,125.2103246,128.6361083,143.1362456,160.5868338
Indonesia,165.0210121,160.4469478,195.6606112,234.7724638,256.8368753,285.8686182,364.5705143,432.2167378,510.228635,539.5800856,755.0941604,892.9691079,917.8699101,912.5241367,890.8147552,860.8542351,931.8773642,1015.618743,1042.271531
India,468.3949373,485.4410145,514.9379489,607.6992854,709.1485148,820.3815955,940.2598888,1216.735442,1198.895582,1341.886603,1675.615336,1823.049928,1827.637859,1856.722121,2039.127446,2103.587814,2294.797981,2651.472946,2701.111783
Ireland,99.95880689,109.2520573,127.9859721,164.3079616,194.0153352,211.7979915,231.9862539,269.7363756,274.3269123,235.5094651,221.659743,238.6628333,225.5097096,238.2115472,258.6251927,291.4627993,298.7252294,334.6022999,384.8536852
Iran,109.5917078,126.8787503,128.6269175,153.5447514,190.043434,226.4521383,266.2989117,349.8816015,412.3361724,416.3970257,486.8076153,580.7649029,598.8684609,460.2931493,432.6870362,384.9514797,417.9835836,445.3452565,294.3566806
Iraq,48.36425094,36.17643013,32.92845467,21.92156948,36.62790176,49.95489035,65.1401472,88.8370552,131.6144337,111.6575817,138.5167226,185.7496644,218.0024817,234.6376751,228.4156562,166.7741097,166.6024887,187.2176601,227.367469
Iceland,9.025660362,8.234846805,9.318395055,11.42933304,13.82530254,16.85296307,17.46531855,21.6525056,18.07462299,13.15441422,13.75116192,15.22162293,14.75150813,16.12506052,17.86766218,17.51721052,20.79316803,24.72828518,26.26706376
Israel,132.4556621,130.8163212,121.1484752,127.0466338,135.5713481,142.6570691,154.1454953,179.161787,216.7115496,207.9534392,234.6545896,262.2938711,258.4171042,294.1673665,310.9449376,300.0782781,319.0244173,355.2772235,373.6412414
Italy,1143.829832,1167.012796,1270.712309,1574.145824,1803.226968,1857.524313,1947.919709,2210.292636,2398.856599,2191.241873,2134.017843,2291.991046,2087.077032,2141.315327,2159.13392,1835.899237,1875.797464,1956.95047,2090.910879
Jamaica,9.005064475,9.194717836,9.719017926,9.430230564,10.17466485,11.24386849,11.93017147,12.79959302,13.70940209,12.12046087,13.22055688,14.4446553,14.80708689,14.26420274,13.89922882,14.18893595,14.0771094,14.80898999,15.73079385
Jordan,8.460424401,8.975689845,9.582453032,10.19566079,11.41139041,12.5886653,15.05692976,17.11058745,22.65766239,24.53787606,27.13380423,29.52414915,31.63456169,34.45444014,36.84764352,38.58701789,39.89255113,41.40896085,42.93211268
Japan,4968.359076,4374.711694,4182.846046,4519.561645,4893.116006,4831.467035,4601.663123,4579.75092,5106.679115,5289.493118,5759.071769,6233.147172,6272.362996,5212.328181,4896.994405,4444.930652,5003.677628,4930.837369,5036.891741
Kazakhstan,18.29199491,22.15269416,24.63659322,30.8336997,43.151647,57.12367173,81.00388455,104.8498868,133.4416122,115.3086611,148.0473482,192.626508,207.9985689,236.6345521,221.4155728,184.3884321,137.2783201,166.8058006,179.3399949
Kenya,12.7053571,12.98600743,13.14774391,14.90451765,16.09533709,18.73789774,25.82552482,31.95819518,35.89515333,42.34721791,45.40558756,46.86945732,56.39670601,61.67142537,68.28576855,70.12041333,74.81512131,82.03580087,92.20295632
Kyrgyz Republic,1.369688498,1.52511637,1.605643105,1.91900809,2.211534585,2.460248026,2.834168889,3.802566171,5.139957785,4.690062255,4.794357795,6.197766119,6.605139933,7.335027592,7.468096567,6.67817834,6.813092066,7.7029348,8.271108638
Cambodia,3.654031716,3.984000517,4.284028483,4.658246918,5.337833248,6.293046162,7.274595707,8.639235842,10.35191409,10.40185185,11.2422752,12.82954114,14.05444321,15.2279914,16.70261084,18.04995429,20.01674775,22.17720051,24.57175358
Kiribati,0.067254174,0.063101272,0.072196458,0.090231857,0.102367039,0.112133944,0.11023494,0.132671743,0.14104261,0.132419902,0.156120439,0.181705154,0.190243433,0.18511406,0.179703165,0.171117817,0.178328984,0.187276125,0.200157021
St. Kitts and Nevis,0.42169577,0.458643829,0.481077374,0.46986987,0.5069,0.547203704,0.644411111,0.689285185,0.751233333,0.747862963,0.76017037,0.817759259,0.800414815,0.83977037,0.916566667,0.923155556,1.008888889,1.060740741,1.078518519
Kuwait,37.71284224,34.88751223,38.13754525,47.87651007,59.4390906,80.79863014,101.5489318,114.6396904,147.3950893,105.9631689,115.4193999,154.0681159,174.0703823,174.1611425,162.6314125,114.5672981,109.4197286,120.7074355,138.1824003
Lao PDR,1.731198022,1.768619058,1.758176653,2.023324407,2.36639812,2.735558726,3.455031448,4.223152219,5.446434032,5.836138127,7.131773633,8.750107402,10.19284893,11.98325261,13.27924848,14.42638119,15.91249537,17.07116208,18.14165138
Lebanon,17.26036484,17.64975124,19.15223881,20.08291874,21.15982799,21.4973365,22.02270985,24.82735501,29.11891611,35.39958293,38.44390704,39.92712596,44.03599189,46.90933555,48.13341484,50.06594609,51.38931829,53.32480096,55.27615755
Liberia,0.874,0.906,0.927,0.748,0.897,0.949,1.119,1.373,1.726,1.768,1.998,2.398,2.791614,3.1771981,3.225652,3.2270757,3.3984196,3.3907034,3.4227548
